prolific_id,total_rt,block_type,background_stimulus,deviant_stimulus,background_type,deviant_type,violation_type,total_trial_number,trial_number,block_number,animacy,number,pose,trial_type,background_id,background_animacy,background_pose,background_number,deviant_id,deviant_animacy,deviant_pose,deviant_number,same_animacy,same_number,same_pose,same_id,val
5f197db1bc75e000082aba9e,1485,deviant_block,animate_006_right_pair.png,inanimate_011_right_pair.png,animate_pair_right,inanimate_pair_right,animacy,6,1,15,animate,pair,right,background,006,animate,right,pair,011,inanimate,right,pair,FALSE,TRUE,TRUE,FALSE,3.3873542731031727
61700b8d032affadda0213d3,870,background_block,inanimate_012_right_pair.png,,inanimate_pair_right,,background,2,2,10,inanimate,pair,right,background,012,inanimate,right,pair,NA,animate,right,single,FALSE,FALSE,TRUE,NA,NA
6546505ff30bb961559e7067,3798,background_block,inanimate_009_right.png,,inanimate_single_right,,animacy,2,2,3,inanimate,single,right,background,009,inanimate,right,single,NA,animate,right,single,FALSE,TRUE,TRUE,NA,NA
633129042bb1ab9f1847e81f,2044,deviant_block,inanimate_012_right.png,inanimate_012_left.png,inanimate_single_right,inanimate_single_left,pose,6,4,15,inanimate,single,right,background,012,inanimate,right,single,012,inanimate,left,single,TRUE,TRUE,FALSE,TRUE,0.3081606496837004
5b550c6e303c330001660747,885,background_block,animate_012_right.png,,animate_single_right,,background,6,5,14,animate,single,right,background,012,animate,right,single,NA,animate,right,single,TRUE,TRUE,TRUE,NA,NA
5df51aaedf98d93923d5304f,3979,deviant_block,animate_004_left_pair.png,animate_001_left_pair.png,animate_pair_left,animate_pair_left,identity,2,1,7,animate,pair,left,background,004,animate,left,pair,001,animate,left,pair,TRUE,TRUE,TRUE,FALSE,0.6269946334171819
5ea19dcac30e0005e6e6b6e3,3258,deviant_block,inanimate_010_left_pair.png,inanimate_001_left_pair.png,inanimate_pair_left,inanimate_pair_left,identity,2,1,7,inanimate,pair,left,background,010,inanimate,left,pair,001,inanimate,left,pair,TRUE,TRUE,TRUE,FALSE,0.932396309643494
5dee5e827d91c34eceb20319,1558,background_block,animate_005_right_pair.png,,animate_pair_right,,background,2,1,15,animate,pair,right,background,005,animate,right,pair,NA,animate,right,single,TRUE,FALSE,TRUE,NA,NA
5f9c3761ed8d1b0907d32137,3220,deviant_block,inanimate_011_left.png,inanimate_011_right.png,inanimate_single_left,inanimate_single_right,pose,4,1,9,inanimate,single,left,background,011,inanimate,left,single,011,inanimate,right,single,TRUE,TRUE,FALSE,TRUE,0.4045634877837374
651c15087c67f2bc3f516e86,4446,background_block,inanimate_012_left_pair.png,,inanimate_pair_left,,background,6,3,3,inanimate,pair,left,background,012,inanimate,left,pair,NA,animate,right,single,FALSE,FALSE,FALSE,NA,NA
60a44015d0ff9f3d81a1a1c8,12617,deviant_block,inanimate_012_right_pair.png,animate_001_right_pair.png,inanimate_pair_right,animate_pair_right,animacy,6,5,8,inanimate,pair,right,background,012,inanimate,right,pair,001,animate,right,pair,FALSE,TRUE,TRUE,FALSE,1.5337070050462316
5fba83fae62120a5dbb4a83c,1025,background_block,animate_012_left_pair.png,,animate_pair_left,,background,4,2,10,animate,pair,left,background,012,animate,left,pair,NA,animate,right,single,TRUE,FALSE,FALSE,NA,NA
64528f78d8486d9706ca666b,2230,background_block,animate_011_right_pair.png,,animate_pair_right,,background,6,2,4,animate,pair,right,background,011,animate,right,pair,NA,animate,right,single,TRUE,FALSE,TRUE,NA,NA
5b278c153a20420001efd41b,2355,deviant_block,animate_003_left.png,animate_003_right.png,animate_single_left,animate_single_right,pose,2,2,2,animate,single,left,deviant,003,animate,left,single,003,animate,right,single,TRUE,TRUE,FALSE,TRUE,0.4286230719472071
616b06e97addc4a9a638909e,5400,deviant_block,inanimate_010_right_pair.png,animate_007_right_pair.png,inanimate_pair_right,animate_pair_right,animacy,6,1,3,inanimate,pair,right,background,010,inanimate,right,pair,007,animate,right,pair,FALSE,TRUE,TRUE,FALSE,3.022557570873033
6027a9d3f33f0302534823c3,1483,deviant_block,inanimate_003_right_pair.png,inanimate_003_left_pair.png,inanimate_pair_right,inanimate_pair_left,pose,4,3,16,inanimate,pair,right,background,003,inanimate,right,pair,003,inanimate,left,pair,TRUE,TRUE,FALSE,TRUE,0.24106384665152616
5e9071852d79d90315e4eb6f,3460,background_block,inanimate_002_left.png,,inanimate_single_left,,background,6,1,4,inanimate,single,left,background,002,inanimate,left,single,NA,animate,right,single,FALSE,TRUE,FALSE,NA,NA
6032a9f84634b22d7f6b72a8,2367,background_block,animate_004_right.png,,animate_single_right,,background,2,2,5,animate,single,right,background,004,animate,right,single,NA,animate,right,single,TRUE,TRUE,TRUE,NA,NA
606c6e9f7e86c0264ab3d7d8,1411,deviant_block,inanimate_010_right_pair.png,inanimate_010_left_pair.png,inanimate_pair_right,inanimate_pair_left,pose,6,1,4,inanimate,pair,right,background,010,inanimate,right,pair,010,inanimate,left,pair,TRUE,TRUE,FALSE,TRUE,0.1824511676252302
615880a66bc32302998866d9,798,deviant_block,inanimate_003_left_pair.png,inanimate_007_left_pair.png,inanimate_pair_left,inanimate_pair_left,identity,6,4,16,inanimate,pair,left,background,003,inanimate,left,pair,007,inanimate,left,pair,TRUE,TRUE,TRUE,FALSE,1.533198425098517
5bef0e8f1e78580001dbedf1,2168,background_block,animate_012_right_pair.png,,animate_pair_right,,background,6,5,8,animate,pair,right,background,012,animate,right,pair,NA,animate,right,single,TRUE,FALSE,TRUE,NA,NA
5b8359ff4ba9cd0001e7a2ea,1929,background_block,animate_011_right.png,,animate_single_right,,background,6,2,10,animate,single,right,background,011,animate,right,single,NA,animate,right,single,TRUE,TRUE,TRUE,NA,NA
654e48ce4077acb50f6db62e,1096,deviant_block,inanimate_009_right_pair.png,inanimate_009_right.png,inanimate_pair_right,inanimate_single_right,number,4,2,10,inanimate,pair,right,background,009,inanimate,right,pair,009,inanimate,right,single,TRUE,FALSE,TRUE,TRUE,1.6973110153748041
60536ffae4f98513b671f482,2778,background_block,inanimate_003_left_pair.png,,inanimate_pair_left,,background,6,4,7,inanimate,pair,left,background,003,inanimate,left,pair,NA,animate,right,single,FALSE,FALSE,FALSE,NA,NA
602d3367986cfd11ee8b63b9,846,background_block,inanimate_006_left.png,,inanimate_single_left,,background,6,4,13,inanimate,single,left,background,006,inanimate,left,single,NA,animate,right,single,FALSE,TRUE,FALSE,NA,NA
5c50a6869963920001a8bfb3,2876,deviant_block,inanimate_004_left_pair.png,inanimate_004_right_pair.png,inanimate_pair_left,inanimate_pair_right,pose,4,1,9,inanimate,pair,left,background,004,inanimate,left,pair,004,inanimate,right,pair,TRUE,TRUE,FALSE,TRUE,0.4474252481741344
5ea00d4b1286ee0008405450,3079,deviant_block,inanimate_006_right.png,inanimate_006_left.png,inanimate_single_right,inanimate_single_left,pose,4,1,12,inanimate,single,right,background,006,inanimate,right,single,006,inanimate,left,single,TRUE,TRUE,FALSE,TRUE,0.1916188415307971
5f6774e25794e635f7e836ae,2624,background_block,animate_004_right.png,,animate_single_right,,background,4,3,5,animate,single,right,background,004,animate,right,single,NA,animate,right,single,TRUE,TRUE,TRUE,NA,NA
60561bed5ea5ad8dbe3fae07,1098,deviant_block,inanimate_002_right.png,inanimate_002_right_pair.png,inanimate_single_right,inanimate_pair_right,number,6,6,15,inanimate,single,right,deviant,002,inanimate,right,single,002,inanimate,right,pair,TRUE,FALSE,TRUE,TRUE,0.7457398710773777
652d3424ba4b3f9c1a80d58e,1238,deviant_block,animate_003_right_pair.png,animate_003_left_pair.png,animate_pair_right,animate_pair_left,pose,6,2,13,animate,pair,right,background,003,animate,right,pair,003,animate,left,pair,TRUE,TRUE,FALSE,TRUE,0.9045950091970474
5f8f7b6a2650711e2238f6d5,1613,background_block,animate_007_left.png,,animate_single_left,,background,2,2,7,animate,single,left,background,007,animate,left,single,NA,animate,right,single,TRUE,TRUE,FALSE,NA,NA
5f197db1bc75e000082aba9e,631,deviant_block,animate_006_right_pair.png,inanimate_011_right_pair.png,animate_pair_right,inanimate_pair_right,animacy,6,2,15,animate,pair,right,background,006,animate,right,pair,011,inanimate,right,pair,FALSE,TRUE,TRUE,FALSE,3.3873542731031727
5ea2f8fc43361c22c01aaa4a,1769,background_block,inanimate_001_right.png,,inanimate_single_right,,animacy,4,4,6,inanimate,single,right,background,001,inanimate,right,single,NA,animate,right,single,FALSE,TRUE,TRUE,NA,NA
5f38279b8b5659305d754d38,800,deviant_block,inanimate_004_left_pair.png,animate_007_left_pair.png,inanimate_pair_left,animate_pair_left,animacy,4,1,11,inanimate,pair,left,background,004,inanimate,left,pair,007,animate,left,pair,FALSE,TRUE,TRUE,FALSE,2.1321169165888123
6536923b6c56b6b637f73958,1277,deviant_block,animate_009_right_pair.png,animate_009_right.png,animate_pair_right,animate_single_right,number,4,4,14,animate,pair,right,deviant,009,animate,right,pair,009,animate,right,single,TRUE,FALSE,TRUE,TRUE,0.7660722064967543
5acd7cb2e9d7a30001c2cc45,1947,background_block,inanimate_003_right.png,,inanimate_single_right,,animacy,4,2,10,inanimate,single,right,background,003,inanimate,right,single,NA,animate,right,single,FALSE,TRUE,TRUE,NA,NA
60a44015d0ff9f3d81a1a1c8,583,deviant_block,inanimate_012_right_pair.png,animate_001_right_pair.png,inanimate_pair_right,animate_pair_right,animacy,6,6,8,inanimate,pair,right,deviant,012,inanimate,right,pair,001,animate,right,pair,FALSE,TRUE,TRUE,FALSE,1.5337070050462316
60ad167241c63e9e8c639839,1364,background_block,animate_010_left.png,,animate_single_left,,background,6,3,12,animate,single,left,background,010,animate,left,single,NA,animate,right,single,TRUE,TRUE,FALSE,NA,NA
590cfded18837300010dfd8c,1165,deviant_block,inanimate_010_left_pair.png,inanimate_010_left.png,inanimate_pair_left,inanimate_single_left,number,6,5,15,inanimate,pair,left,background,010,inanimate,left,pair,010,inanimate,left,single,TRUE,FALSE,TRUE,TRUE,1.2118108032069648
5dbd51673da0362aabf215af,1310,deviant_block,inanimate_004_right_pair.png,inanimate_004_left_pair.png,inanimate_pair_right,inanimate_pair_left,pose,6,2,12,inanimate,pair,right,background,004,inanimate,right,pair,004,inanimate,left,pair,TRUE,TRUE,FALSE,TRUE,0.4474252481741344
600825d5456296391101472f,1747,deviant_block,inanimate_011_left.png,inanimate_011_left_pair.png,inanimate_single_left,inanimate_pair_left,number,6,5,6,inanimate,single,left,background,011,inanimate,left,single,011,inanimate,left,pair,TRUE,FALSE,TRUE,TRUE,1.3177775189753835
605cf03f7dd3c70fc20cf732,1165,background_block,animate_007_left_pair.png,,animate_pair_left,,background,4,4,7,animate,pair,left,background,007,animate,left,pair,NA,animate,right,single,TRUE,FALSE,FALSE,NA,NA
5ab6664d892136000182eced,3878,deviant_block,inanimate_008_left.png,animate_009_left.png,inanimate_single_left,animate_single_left,animacy,6,1,8,inanimate,single,left,background,008,inanimate,left,single,009,animate,left,single,FALSE,TRUE,TRUE,FALSE,2.7035623742422223
5b550c6e303c330001660747,939,background_block,animate_012_right.png,,animate_single_right,,background,6,6,14,animate,single,right,background,012,animate,right,single,NA,animate,right,single,TRUE,TRUE,TRUE,NA,NA
63d3f953f8fb0fe970f0d0c6,3370,background_block,animate_008_right_pair.png,,animate_pair_right,,background,6,4,11,animate,pair,right,background,008,animate,right,pair,NA,animate,right,single,TRUE,FALSE,TRUE,NA,NA
5dee5e827d91c34eceb20319,910,background_block,animate_005_right_pair.png,,animate_pair_right,,background,2,2,15,animate,pair,right,background,005,animate,right,pair,NA,animate,right,single,TRUE,FALSE,TRUE,NA,NA
5b7facd6c4e6ad0001d3ea48,1055,deviant_block,inanimate_011_left.png,inanimate_007_left.png,inanimate_single_left,inanimate_single_left,identity,6,1,14,inanimate,single,left,background,011,inanimate,left,single,007,inanimate,left,single,TRUE,TRUE,TRUE,FALSE,1.77295325013923
5c53ef4f26a39500019719b4,1762,deviant_block,animate_004_left.png,animate_004_left_pair.png,animate_single_left,animate_pair_left,number,6,5,6,animate,single,left,background,004,animate,left,single,004,animate,left,pair,TRUE,FALSE,TRUE,TRUE,0.5309862533882449
5f3c202dc59223a250d37f11,3723,deviant_block,animate_010_right.png,animate_003_right.png,animate_single_right,animate_single_right,identity,6,5,2,animate,single,right,background,010,animate,right,single,003,animate,right,single,TRUE,TRUE,TRUE,FALSE,0.5478723856856833
602d3367986cfd11ee8b63b9,764,background_block,inanimate_006_left.png,,inanimate_single_left,,background,6,5,13,inanimate,single,left,background,006,inanimate,left,single,NA,animate,right,single,FALSE,TRUE,FALSE,NA,NA
609fba4900794b6d944da77e,1802,deviant_block,animate_002_right.png,animate_010_right.png,animate_single_right,animate_single_right,identity,6,1,6,animate,single,right,background,002,animate,right,single,010,animate,right,single,TRUE,TRUE,TRUE,FALSE,1.5656939826448348
