param_id,trial_type,trial_number,total_trial_number,mean_sample
14,background,1,2,36.22
14,background,1,4,35.975
14,background,1,6,36.66833333333333
14,background,2,2,12.391666666666667
14,background,2,4,12.176666666666666
14,background,2,6,13.045
14,background,3,4,8.043333333333333
14,background,3,6,8.5216666666666665
14,background,4,4,6.843333333333334
14,background,4,6,6.656666666666667
14,background,5,6,5.971666666666667
14,background,6,6,5.54
14,deviant,2,2,12.391666666666667
14,deviant,4,4,6.843333333333334
14,deviant,6,6,5.54
15,background,1,2,67.10333333333334
15,background,1,4,67.62666666666667
15,background,1,6,64.40333333333334
15,background,2,2,21.003333333333334
15,background,2,4,18.44
15,background,2,6,20.406666666666666
15,background,3,4,13.441666666666666
15,background,3,6,12.49
15,background,4,4,11.36
15,background,4,6,10.93
15,background,5,6,9.296666666666667
15,background,6,6,8.606666666666667
15,deviant,2,2,21.003333333333334
15,deviant,4,4,11.36
15,deviant,6,6,8.606666666666667
16,background,1,2,37.325
16,background,1,4,38.095
16,background,1,6,37.373333333333335
16,background,2,2,11.923333333333334
16,background,2,4,12.385
16,background,2,6,11.501666666666667
16,background,3,4,8.05
16,background,3,6,8.216666666666667
16,background,4,4,6.703333333333333
16,background,4,6,6.591666666666667
16,background,5,6,5.841666666666667
16,background,6,6,5.378333333333333
16,deviant,2,2,11.923333333333334
16,deviant,4,4,6.703333333333333
16,deviant,6,6,5.378333333333333
17,background,1,2,67.08666666666667
17,background,1,4,67.85333333333334
17,background,1,6,64.88166666666666
17,background,2,2,21.16
17,background,2,4,19.455
17,background,2,6,20.483333333333334
17,background,3,4,13.495
17,background,3,6,13.555
17,background,4,4,10.631666666666666
17,background,4,6,11.11
17,background,5,6,9.446666666666667
17,background,6,6,8.053333333333333
17,deviant,2,2,21.16
17,deviant,4,4,10.631666666666666
17,deviant,6,6,8.053333333333333
18,background,1,2,36.095
18,background,1,4,39.153333333333336
18,background,1,6,40.49
18,background,2,2,15.936666666666667
18,background,2,4,16.35
18,background,2,6,15.45
18,background,3,4,11.334999999999999
18,background,3,6,11.531666666666666
18,background,4,4,8.85
18,background,4,6,9.105
18,background,5,6,7.83
18,background,6,6,7.368333333333333
18,deviant,2,2,15.936666666666667
18,deviant,4,4,8.85
