param_id,trial_type,mean_sample
0,animacy,10.683333333333334
0,background,19.675
0,identity,9.902777777777779
0,number,13.380555555555555
0,pose,9.375
1,animacy,16.476315789473684
1,background,32.83986253248863
1,identity,17.675
1,number,15.547222222222222
1,pose,16.07006172839506
2,animacy,8.711111111111112
2,background,20.146491228070175
2,identity,8.983333333333333
2,number,9.33529411764706
2,pose,9.452777777777778
3,animacy,16.148684210526316
3,background,33.3922697368421
3,identity,14.971198830409357
3,number,15.502777777777778
3,pose,14.858333333333334
4,animacy,9.327777777777778
4,background,19.60642361111111
4,identity,9.311111111111112
4,number,9.788888888888888
4,pose,9.702777777777778
5,animacy,15.641666666666666
5,background,34.504296875
5,identity,14.652083333333334
5,number,17.15625
5,pose,17.295833333333334
6,animacy,9.372222222222222
6,background,17.899652777777778
6,identity,9.972222222222221
6,number,9.105555555555556
6,pose,10.51388888888889
7,animacy,16.60233918128655
7,background,32.71684941520468
7,identity,15.848245614035088
7,number,17.102777777777778
7,pose,16.36111111111111
8,animacy,9.608333333333333
8,background,19.12065972222222
8,identity,9.805555555555555
8,number,9.808333333333334
8,pose,8.688888888888888
9,animacy,14.286111111111111
9,background,32.58003472222222
9,identity,15.988888888888889
9,number,13.766666666666667
9,pose,14.838888888888889
10,animacy,9.108333333333334
10,background,19.27204861111111
10,identity,8.372222222222222
10,number,9.636111111111111
10,pose,8.575
11,animacy,14.597222222222221
11,background,32.53958333333333
11,identity,12.052777777777777
11,number,15.619444444444445
11,pose,12.883333333333333
12,animacy,8.441666666666666
12,background,16.016840277777778
12,identity,7.813888888888889
12,number,10.669444444444444
12,pose,7.430555555555555
13,animacy,14.707456140350876
13,background,29.42735745614035
13,identity,15.333333333333334
13,number,14.644444444444444
13,pose,13.15
14,animacy,7.35
14,background,17.55017361111111
14,identity,8.644444444444444
14,number,8.019444444444444
14,pose,8.605555555555556
15,animacy,13.627777777777778
15,background,30.535243055555554
15,identity,12.78888888888889
15,number,11.838888888888889
15,pose,15.027777777777779
16,animacy,7.933333333333334
16,background,17.73263888888889
16,identity,8.116666666666667
16,number,7.583333333333333
16,pose,8.286111111111111
17,animacy,13.730555555555556
17,background,30.773958333333333
17,identity,12.28888888888889
17,number,12.7
17,pose,14.25
18,animacy,10.85
18,background,20.135416666666668
18,identity,11.297222222222222
18,number,11.316666666666666
18,pose,10.194444444444445
19,animacy,12.771345029239766
19,background,34.082876461988306
19,identity,17.222059779077323
19,number,16.68611111111111
19,pose,16.307602339181287
20,animacy,9.372222222222222
20,background,19.88576388888889
20,identity,9.71111111111111
20,number,9.202777777777778
20,pose,8.325
21,animacy,13.457456140350876
21,background,34.83847770467836
21,identity,15.16388888888889
21,number,15.033040935672515
21,pose,13.51388888888889
22,animacy,9.372222222222222
22,background,20.216666666666665
22,identity,8.113888888888889
22,number,8.972222222222221
22,pose,8.422222222222222
23,animacy,15.605555555555556
23,background,35.26497624269006
23,identity,12.963888888888889
23,number,15.555555555555555
23,pose,15.663888888888888
24,animacy,9.847222222222221
24,background,18.06996527777778
24,identity,9.530555555555555
24,number,9.666666666666666
24,pose,10.641666666666667
25,animacy,16.229166666666668
25,background,32.799304809643154
25,identity,16.499321266968327
25,number,18.003137651821863
25,pose,14.394736842105264
26,animacy,9.066666666666666
26,background,19.301388888888887
26,identity,9.98611111111111
26,number,9.155555555555555
26,pose,8.894444444444444
27,animacy,15.030555555555555
27,background,33.680729166666666
27,identity,15.38888888888889
27,number,14.641666666666667
27,pose,13.055555555555555
28,animacy,8.566666666666666
28,background,19.15763888888889
28,identity,9.425
28,number,9.572222222222223
28,pose,9.325
29,animacy,16.06875
29,background,33.93502604166667
29,identity,14.210416666666667
29,number,14.023464912280701
29,pose,15.235416666666666
30,animacy,8.819444444444445
30,background,16.051909722222224
30,identity,9.152777777777779
30,number,8.822222222222223
30,pose,7.263888888888889
31,animacy,12.276169590643274
31,background,30.19019223590892
31,identity,14.402777777777779
31,number,14.688888888888888
31,pose,12.394883040935673
32,animacy,7.791666666666667
32,background,17.514409722222222
32,identity,7.844444444444444
32,number,8.13888888888889
32,pose,8.036111111111111
33,animacy,12.716666666666667
33,background,30.346527777777776
33,identity,13.933333333333334
33,number,13.819444444444445
33,pose,13.772222222222222
34,animacy,8.144444444444444
34,background,17.515451388888888
34,identity,7.366666666666666
34,number,8.244444444444444
34,pose,8.355555555555556
35,animacy,13.705555555555556
35,background,31.279340277777777
35,identity,13.002777777777778
35,number,12.436111111111112
35,pose,12.588888888888889
36,animacy,10.102777777777778
36,background,18.093576388888888
36,identity,9.002777777777778
36,number,8.747222222222222
36,pose,9.13888888888889
37,animacy,13.70233918128655
37,background,30.780386005523066
37,identity,16.10679012345679
37,number,12.89561403508772
37,pose,13.692527615334633
38,animacy,9.561111111111112
38,background,18.2625
38,identity,7.944444444444445
38,number,9.494444444444444
38,pose,9.222222222222221
39,animacy,12.072076023391812
39,background,32.22279788011696
39,identity,16.59722222222222
39,number,14.155555555555555
39,pose,14.732309941520468
40,animacy,8.325
40,background,18.622743055555556
40,identity,9.569444444444445
40,number,9.786111111111111
40,pose,8.516666666666666
41,animacy,16.316666666666666
41,background,31.832273391812866
41,identity,13.927777777777777
41,number,14.575
41,pose,14.794444444444444
42,animacy,10.255555555555556
42,background,16.976041666666667
42,identity,10.51388888888889
42,number,9.866666666666667
42,pose,9.422222222222222
43,animacy,15.207309941520467
43,background,31.83455774853801
43,identity,14.755116959064328
43,number,13.865204678362574
43,pose,15.589035087719298
44,animacy,8.380555555555556
44,background,19.11388888888889
44,identity,8.825
44,number,8.438888888888888
44,pose,8.930555555555555
45,animacy,14.842690058479532
45,background,31.45673428362573
45,identity,14.05
45,number,14.230263157894736
45,pose,15.355555555555556
46,animacy,8.491666666666667
46,background,19.613427561837455
46,identity,9.697058823529412
46,number,9.175
46,pose,8.191666666666666
47,animacy,15.794444444444444
47,background,33.564236111111114
47,identity,14.811111111111112
47,number,15.130555555555555
47,pose,15.352777777777778
