param_id,trial_type,trial_number,count,sd_sample,mean_sample,ub_sample,lb_sample
0,animacy,2,68,30.711561340967346,2.148529411764706,2.513513150322692,1.7835456732067192
0,animacy,4,69,28.003571200830795,1.9507246376811593,2.2811055509102482,1.6203437244520702
0,animacy,6,68,26.543757319407117,1.9375,2.252952531841482,1.622047468158518
0,background,1,1044,133.32855144933868,2.345929118773946,2.7503177961246226,1.94154044142327
0,background,2,771,90.4638630963535,2.0828793774319068,2.402161069399765,1.7635976854640483
0,background,3,693,77.55023838573426,1.9476911976911977,2.2363884134778713,1.658993981904524
0,background,4,415,51.16690953711146,1.8320481927710843,2.0781933036289666,1.5859030819132023
0,background,5,346,44.13451328787817,1.7463872832369942,1.97891052433636,1.5138640421376284
0,background,6,69,17.544379816850032,1.636231884057971,1.8432172069069708,1.4292465612089713
0,identity,2,68,31.455064022054998,2.189705882352941,2.563525589397143,1.815886175308739
0,identity,4,70,24.98046605270859,1.9321428571428572,2.2247450606097554,1.639540653675959
0,identity,6,70,25.050790511741496,1.8685714285714285,2.1619973593309734,1.5751454978118837
0,number,2,69,31.241714691132195,2.2108695652173913,2.579453491762899,1.8422856386718838
0,number,4,70,25.89513264566996,1.9785714285714286,2.2818873417014434,1.6752555154414137
0,number,6,69,30.869248878386877,1.9405797101449276,2.304769354458397,1.5763900658314578
0,pose,2,68,27.217883053146085,2.1845588235294118,2.508022831173981,1.8610948158848424
0,pose,4,69,25.465559817960123,1.9478260869565218,2.2482640149697195,1.647388158943324
0,pose,6,70,18.476870320541444,1.7285714285714286,1.9449954519485408,1.5121474051943165
1,animacy,2,70,58.4707529228795,3.2864285714285715,3.9713105551155037,2.6015465877416393
1,animacy,4,20,24.80884816690249,2.9,3.443647855257717,2.356352144742283
1,animacy,6,20,35.3040925016976,2.775,3.548635037033817,2.001364962966183
1,background,1,565,166.96341389342567,3.2576106194690264,3.9459825737246326,2.5692386652134203
1,background,2,286,88.23844787965463,2.7837412587412587,3.295070841475207,2.2724116760073105
1,background,3,213,73.43396604038932,2.6661971830985918,3.1592952026961765,2.173099163501007
1,background,4,134,56.24282410368362,2.5958955223880595,3.072042241493305,2.119748803282814
1,background,5,100,43.31998444865348,2.421,2.845535847596804,1.9964641524031956
1,background,6,20,18.828799330029685,2.3925,2.805104257319159,1.9798957426808412
1,identity,2,69,49.664453029675485,2.965217391304348,3.5511493508138767,2.3792854317948193
1,identity,4,20,31.10140460527551,3.0525,3.7340395779525863,2.370960422047414
1,identity,6,20,24.952586618372223,2.55,3.0967976629526923,2.0032023370473073
1,number,2,70,42.65652291699853,2.67,3.1696461063382233,2.1703538936617766
1,number,4,19,18.15923717386945,2.5052631578947366,2.9135326007264757,2.0969937150629976
1,number,6,20,28.995054024690777,2.6225,3.257882135742777,1.9871178642572231
1,pose,2,70,48.102111782069784,3.032142857142857,3.595574454821899,2.468711259463815
1,pose,4,20,23.359039724314552,2.5575,3.069377526984316,2.0456224730156842
1,pose,6,20,28.374608738317992,2.6375,3.259286028943618,2.0157139710563823
2,animacy,2,69,20.838602842346525,1.9101449275362319,2.1559948796047914,1.6642949754676726
2,animacy,4,69,21.584290095978798,1.8369565217391304,2.0916039530317327,1.582309090446528
2,animacy,6,69,21.306287680796064,1.7782608695652173,2.0296284801824753,1.5268932589479594
2,background,1,1040,89.81628910990302,2.0371634615384617,2.3101017812860554,1.764225141790868
2,background,2,763,70.36893378547995,1.9268020969855832,2.176459689056422,1.6771445049147444
2,background,3,694,61.042306295672816,1.838472622478386,2.0655517799511314,1.611393465005641
2,background,4,417,46.03245422639622,1.800599520383693,2.0215129806124925,1.5796860601548939
2,background,5,347,42.765948087111006,1.7818443804034583,2.006832425790915,1.5568563350160014
2,background,6,70,15.428613199609286,1.66,1.8407190550055672,1.4792809449944326
2,identity,2,69,22.787057730211682,1.9659420289855072,2.2347794886337953,1.697104569337219
2,identity,4,70,20.650602132166814,1.822857142857143,2.0647426094469497,1.5809716762673365
2,identity,6,68,17.058799242002568,1.7213235294117646,1.924054489701657,1.5185925691218722
2,number,2,69,21.843582702092572,1.9275362318840579,2.1852427490120725,1.6698297147560432
2,number,4,69,18.52707833358912,1.7536231884057971,1.9722022051826449,1.5350441716289493
2,number,6,70,19.616856339168592,1.8242857142857143,2.0540626679191294,1.5945087606522992
2,pose,2,70,20.028466583445937,1.905,2.139598243363998,1.6704017566360019
2,pose,4,69,26.042525950735595,1.9297101449275362,2.23695501183012,1.6224652780249527
2,pose,6,70,20.9043561312746,1.815,2.0598577481765794,1.5701422518234205
3,animacy,2,70,44.17837646822731,2.8064285714285715,3.3239005142225237,2.2889566286346192
3,animacy,4,20,25.406588453432803,2.675,3.231746416810722,2.1182535831892775
