trial_id,stim_id,param_id,index,sample_n_mean,sample_n_std
0,642,26,0,39.5,18.70406654348615
0,642,26,1,15.4,11.568559934035369
0,309,120,0,36.4,30.201777570551258
0,309,120,1,14.85,20.74475203134772
0,309,120,0,30.5,25.856893614052346
0,309,120,1,8.2,9.412198132434874
0,642,26,0,38.55,25.008367020911848
0,642,26,1,17.45,13.865804207322036
0,69,87,0,60.95,38.13062728099428
0,69,87,1,23.6,30.62231728314292
0,360,91,0,49.5,62.294293056173466
0,360,91,1,19.3,31.397452125928943
1,437,120,0,33.0,33.17576794811792
1,437,120,1,7.7,10.843868022260807
1,259,26,0,42.25,29.049639910803858
1,259,26,1,13.9,13.246250710851612
0,360,91,0,36.0,47.60694332375876
0,360,91,1,19.6,20.34802460346355
1,437,120,0,29.0,26.08084596626017
1,437,120,1,15.0,29.862844366942188
0,69,87,0,78.35,39.41316237529098
0,69,87,1,24.3,35.98844843908433
1,259,26,0,53.4,27.238517619453212
1,259,26,1,16.55,14.203316884668729
2,58,120,0,31.4,29.42143865672749
2,58,120,1,15.6,24.347052128921504
1,812,91,0,40.55,33.95736490923503
1,812,91,1,10.3,23.16780888260806
2,58,120,0,32.9,27.691724015441295
2,58,120,1,10.8,12.142140624592042
2,691,26,0,41.15,20.383881661228003
2,691,26,1,14.45,11.297298233136145
1,820,87,0,56.25,35.63687475221787
1,820,87,1,18.7,14.429866687935096
1,812,91,0,54.4,50.7453912867179
1,812,91,1,20.0,26.13930293436948
3,822,120,0,32.8,28.261187817253987
3,822,120,1,12.85,20.673591086723484
2,691,26,0,44.25,23.635109922584064
2,691,26,1,21.8,24.228300111972146
3,822,120,0,35.1,26.538750218461583
3,822,120,1,10.3,9.787747442593725
3,620,26,0,44.35,27.813807627450828
3,620,26,1,14.3,13.653994981226866
4,306,120,0,31.3,27.205069187077694
4,306,120,1,17.65,19.238872381881322
1,820,87,0,81.25,56.10786134993169
1,820,87,1,26.85,22.9513788142169
3,620,26,0,36.5,14.369192190604394
3,620,26,1,20.05,12.642763688537823
4,306,120,0,48.5,40.47416329878658
4,306,120,1,15.15,16.784312851431743
2,427,91,0,71.55,112.07961221241003
2,427,91,1,23.7,38.56109301792212
4,28,26,0,36.25,25.310440949391452
4,28,26,1,12.4,12.253463527552226
2,292,87,0,61.65,50.05184154559413
2,292,87,1,17.0,23.56625598292252
5,842,120,0,25.85,30.60319040815671
5,842,120,1,8.5,13.61693991437059
5,842,120,2,6.35,8.412240455056203
5,842,120,3,5.25,6.827768380124767
4,28,26,0,48.35,27.396263671491674
4,28,26,1,11.3,8.560004918837741
5,842,120,0,18.4,21.840088683066526
5,842,120,1,11.95,20.024918687002266
5,842,120,2,12.75,24.08291598011468
5,842,120,3,6.95,6.581273273063264
2,292,87,0,62.25,37.084363281577325
2,292,87,1,21.0,24.503490621370233
2,427,91,0,69.95,83.33096663305905
2,427,91,1,21.7,43.8743421003306
6,635,120,0,34.75,40.27389777641671
6,635,120,1,8.05,7.69466664234664
6,635,120,2,12.65,22.999485120095052
6,635,120,3,10.15,22.70931874572059
5,564,26,0,44.75,14.130500791959884
5,564,26,1,14.85,11.952867966792695
5,564,26,2,12.5,16.26588292618698
5,564,26,3,11.45,9.84872420271035
3,92,87,0,60.5,38.08508479983373
3,92,87,1,19.55,18.036439723369377
6,635,120,0,27.9,21.589227333142457
6,635,120,1,10.2,11.993858077322214
6,635,120,2,9.2,10.018929452212998
6,635,120,3,3.9,3.6259300077432046
5,564,26,0,40.35,14.851103095659077
5,564,26,1,15.95,14.812778978052416
5,564,26,2,9.7,8.712362662211367
5,564,26,3,9.4,10.869561556063456
3,99,91,0,72.6,82.82410023023112
3,99,91,1,12.25,14.033324998955727
7,826,120,0,43.0,36.618948215658136
7,826,120,1,15.6,22.5537953393775
7,826,120,2,6.9,9.585625202683225
7,826,120,3,7.65,11.384546312297303
3,92,87,0,64.2,38.57132832067172
3,92,87,1,20.6,16.044018396766734
6,535,26,0,43.2,30.838458559334473
6,535,26,1,11.3,9.553726195078353
6,535,26,2,5.7,5.786554287856961
6,535,26,3,7.4,7.5421621917269706
7,826,120,0,32.4,26.38659946978669
7,826,120,1,11.9,12.577758146824099
7,826,120,2,4.6,5.985948458462403
7,826,120,3,4.3,3.714835124201342
3,99,91,0,51.8,54.215554186870335
3,99,91,1,32.35,63.77945140131445
6,535,26,0,34.8,26.943605822844905
6,535,26,1,16.95,14.543853829385329
6,535,26,2,8.85,8.355741801457938
6,535,26,3,9.05,7.052248614896939
8,316,120,0,32.85,35.06576528092381
8,316,120,1,11.95,21.3971837792783
8,316,120,2,8.3,9.803866047314408
8,316,120,3,5.4,8.79832519947913
4,228,87,0,72.65,37.92274001870535
4,228,87,1,17.05,16.099934619023834
7,827,26,0,41.85,26.697673858853026
7,827,26,1,10.35,8.969392398596462
7,827,26,2,8.5,7.451598203705946
7,827,26,3,5.95,4.684520983206848
4,67,91,0,48.4,53.64836780761417
4,67,91,1,36.3,48.21345084211732
8,316,120,0,44.0,43.582951761101796
8,316,120,1,20.85,35.590174575517175
8,316,120,2,11.6,29.367723062824208
8,316,120,3,9.65,16.432557541917237
4,228,87,0,81.05,39.68225773500506
